label,short_label,model,model_class,cot_tokens,icl_tokens,cot_medqa,cot_pna,cot_combined,icl_medqa,icl_pna,icl_combined,gain_medqa,gain_pna,gain_combined
"Qwen3-32B
no",Qwen/no,Qwen3-32B,Open,763,2456,48.0,49.33,48.67,61.33,58.67,60.0,13.329999999999998,9.340000000000003,11.329999999999998
"Qwen3-32B
think",Qwen/think,Qwen3-32B,Open,1458,4567,57.33,60.67,59.0,69.33,63.33,66.33,12.0,2.6599999999999966,7.329999999999998
"GPT-OSS
low",OSS/low,GPT-OSS-120B,Open,864,2836,69.33,71.67,70.5,76.0,70.33,73.17,6.670000000000002,-1.3400000000000034,2.6700000000000017
"GPT-OSS
medium",OSS/med,GPT-OSS-120B,Open,973,3257,72.0,70.67,71.33,77.33,72.0,74.67,5.329999999999998,1.3299999999999983,3.3400000000000034
"GPT-OSS
high",OSS/high,GPT-OSS-120B,Open,2061,7223,76.67,77.33,77.0,79.33,72.0,75.67,2.6599999999999966,-5.329999999999998,-1.3299999999999983
"GPT-5.4-nano
no",nano/no,GPT-5.4-nano,Closed,768,2326,50.22,50.89,50.56,58.67,61.83,60.25,8.450000000000003,10.939999999999998,9.689999999999998
"GPT-5.4-nano
medium",nano/med,GPT-5.4-nano,Closed,997,2956,65.56,68.0,66.78,74.33,73.5,73.92,8.769999999999996,5.5,7.140000000000001
"GPT-5.4-nano
maximum",nano/max,GPT-5.4-nano,Closed,3191,10605,77.33,70.0,73.67,81.33,73.17,77.25,4.0,3.1700000000000017,3.5799999999999983
"GPT-5.4-mini
no",mini/no,GPT-5.4-mini,Closed,671,1822,69.33,73.33,71.33,74.67,76.67,75.67,5.340000000000003,3.3400000000000034,4.340000000000003
"GPT-5.4-mini
medium",mini/med,GPT-5.4-mini,Closed,1112,2992,78.67,78.67,78.67,82.67,80.0,81.33,4.0,1.3299999999999983,2.6599999999999966
"GPT-5.4-mini
maximum",mini/max,GPT-5.4-mini,Closed,4988,14841,82.67,79.33,81.0,85.33,78.67,82.0,2.6599999999999966,-0.6599999999999966,1.0
