sample_id,sample_stratum,dataset_name,dataset_family,canonical_question_key,question_index,meta_info,pna_year,pna_part,pna_question_number,ground_truth,difficulty,panel_item_accuracy,question_key,dataset_split,language,panel_original_difficulty,panel_original_accuracy,valid_options
medqa_panel4_150_001,medqa_step1_easy,medqa_test,medqa,test:1108,1108,step1,,,,D,easy,1.0,test:1108,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_002,medqa_step1_easy,medqa_test,medqa,test:1155,1155,step1,,,,E,easy,1.0,test:1155,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_003,medqa_step1_easy,medqa_test,medqa,test:1182,1182,step1,,,,A,easy,0.8333333333333333,test:1182,test,en,easy,0.8333333333333333,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_004,medqa_step1_easy,medqa_test,medqa,test:1194,1194,step1,,,,E,easy,1.0,test:1194,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_005,medqa_step1_easy,medqa_test,medqa,test:1207,1207,step1,,,,B,easy,0.9166666666666666,test:1207,test,en,easy,0.9166666666666666,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_006,medqa_step1_easy,medqa_test,medqa,test:140,140,step1,,,,D,easy,0.9166666666666666,test:140,test,en,easy,0.9166666666666666,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_007,medqa_step1_easy,medqa_test,medqa,test:356,356,step1,,,,A,easy,1.0,test:356,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_008,medqa_step1_easy,medqa_test,medqa,test:400,400,step1,,,,B,easy,0.8333333333333333,test:400,test,en,easy,0.8333333333333333,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_009,medqa_step1_easy,medqa_test,medqa,test:436,436,step1,,,,C,easy,1.0,test:436,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_010,medqa_step1_easy,medqa_test,medqa,test:451,451,step1,,,,E,easy,1.0,test:451,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_011,medqa_step1_easy,medqa_test,medqa,test:488,488,step1,,,,A,easy,1.0,test:488,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_012,medqa_step1_easy,medqa_test,medqa,test:655,655,step1,,,,B,easy,1.0,test:655,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_013,medqa_step1_easy,medqa_test,medqa,test:801,801,step1,,,,B,easy,0.9166666666666666,test:801,test,en,easy,0.9166666666666666,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_014,medqa_step1_easy,medqa_test,medqa,test:811,811,step1,,,,E,easy,1.0,test:811,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_015,medqa_step1_easy,medqa_test,medqa,test:857,857,step1,,,,D,easy,1.0,test:857,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_016,medqa_step23_easy,medqa_test,medqa,test:1000,1000,step2&3,,,,C,easy,1.0,test:1000,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_017,medqa_step23_easy,medqa_test,medqa,test:105,105,step2&3,,,,B,easy,1.0,test:105,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_018,medqa_step23_easy,medqa_test,medqa,test:1083,1083,step2&3,,,,A,easy,1.0,test:1083,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_019,medqa_step23_easy,medqa_test,medqa,test:1259,1259,step2&3,,,,C,easy,1.0,test:1259,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_020,medqa_step23_easy,medqa_test,medqa,test:1264,1264,step2&3,,,,B,easy,1.0,test:1264,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_021,medqa_step23_easy,medqa_test,medqa,test:1271,1271,step2&3,,,,C,easy,1.0,test:1271,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_022,medqa_step23_easy,medqa_test,medqa,test:133,133,step2&3,,,,B,easy,1.0,test:133,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_023,medqa_step23_easy,medqa_test,medqa,test:144,144,step2&3,,,,D,easy,1.0,test:144,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_024,medqa_step23_easy,medqa_test,medqa,test:161,161,step2&3,,,,B,easy,1.0,test:161,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_025,medqa_step23_easy,medqa_test,medqa,test:170,170,step2&3,,,,C,easy,1.0,test:170,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_026,medqa_step23_easy,medqa_test,medqa,test:192,192,step2&3,,,,E,easy,1.0,test:192,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_027,medqa_step23_easy,medqa_test,medqa,test:2,2,step2&3,,,,C,easy,1.0,test:2,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_028,medqa_step23_easy,medqa_test,medqa,test:232,232,step2&3,,,,D,easy,1.0,test:232,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_029,medqa_step23_easy,medqa_test,medqa,test:260,260,step2&3,,,,C,easy,1.0,test:260,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_030,medqa_step23_easy,medqa_test,medqa,test:261,261,step2&3,,,,C,easy,1.0,test:261,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_031,medqa_step23_easy,medqa_test,medqa,test:279,279,step2&3,,,,B,easy,1.0,test:279,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_032,medqa_step23_easy,medqa_test,medqa,test:316,316,step2&3,,,,A,easy,1.0,test:316,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_033,medqa_step23_easy,medqa_test,medqa,test:374,374,step2&3,,,,D,easy,1.0,test:374,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_034,medqa_step23_easy,medqa_test,medqa,test:387,387,step2&3,,,,B,easy,1.0,test:387,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_035,medqa_step23_easy,medqa_test,medqa,test:504,504,step2&3,,,,C,easy,1.0,test:504,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_036,medqa_step23_easy,medqa_test,medqa,test:51,51,step2&3,,,,A,easy,0.8333333333333334,test:51,test,en,easy,0.8333333333333334,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_037,medqa_step23_easy,medqa_test,medqa,test:528,528,step2&3,,,,D,easy,0.9166666666666666,test:528,test,en,easy,0.9166666666666666,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_038,medqa_step23_easy,medqa_test,medqa,test:578,578,step2&3,,,,B,easy,1.0,test:578,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_039,medqa_step23_easy,medqa_test,medqa,test:628,628,step2&3,,,,C,easy,1.0,test:628,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_040,medqa_step23_easy,medqa_test,medqa,test:66,66,step2&3,,,,D,easy,1.0,test:66,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_041,medqa_step23_easy,medqa_test,medqa,test:684,684,step2&3,,,,B,easy,0.8333333333333333,test:684,test,en,easy,0.8333333333333333,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_042,medqa_step23_easy,medqa_test,medqa,test:704,704,step2&3,,,,E,easy,1.0,test:704,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_043,medqa_step23_easy,medqa_test,medqa,test:729,729,step2&3,,,,D,easy,1.0,test:729,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_044,medqa_step23_easy,medqa_test,medqa,test:782,782,step2&3,,,,E,easy,1.0,test:782,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
medqa_panel4_150_045,medqa_step23_easy,medqa_test,medqa,test:804,804,step2&3,,,,A,easy,1.0,test:804,test,en,easy,1.0,"[""A"", ""B"", ""C"", ""D"", ""E""]"
